Test Name,Year,Session,Subject,Number,Question,Question_image,Law,Option 1,Option 2,Option 3,Option 4,Answer
소방설비기사(전기분야),2011,1,소방전기회로,32,논리식 A(A+B)를 간단히 하면?,,,A,B,A+B,A·B,1
소방설비기사(전기분야),2011,1,소방전기회로,33,광전지 박출현상에서 박출된 에너지는 무엇에 비례하는가?,,,빛의 세기,빛의 파장,빛의 속도,빛의 이온,1
소방설비기사(전기분야),2011,1,소방전기회로,34,아이오드를 사용한 정류회로에서 과대한 부하전류에 의하여 다이오드가 파손될 우려가 있을 경우의 적당한 대책은?,,,다이오드를 직렬로 추가한다.,다이오드를 병렬로 추가한다.,다이오드는 양단에 적당한 값의 저항을 추가한다.,다이오드의 양단에 적당한 값의 콘덴서를 추가한다.,2
소방설비기사(전기분야),2011,1,소방전기회로,35,실리콘 정류 소자인 SCR의 특징을 잘못 나타낸 것은?,,,과전압에 약하다.,게이트에 신호를 인가할 때부터 도통시까지 시간이 짧다.,순방향 전압강하는 크게 발생한다.,열의 발생이 적은 편이다.,3
소방설비기사(전기분야),2011,1,소방전기회로,36,피드백 제어장치에 속하지 않는 요소는?,,,설정부,검출부,조절부,전달부,4
소방설비기사(전기분야),2011,1,소방전기회로,37,역률을 개선하기 위한 진상용 콘덴서의 설치 개소로 가장 알맞은 것은?,,,수전점,고압모선,변압기 2차측,부하와 병렬,4
소방설비기사(전기분야),2011,1,소방전기회로,38,전류변화형 센서가 아닌 것은?,,,광전지 방출현상을 이용한 센서,전리현상에 의한 전리형 센서,전기화학형 (안트로피트리형)센서,광저항센서,4
소방설비기사(전기분야),2011,1,소방전기회로,39,시퀀스 제어계의 신호전달계통도이다. 빈칸에 알맞은 용어는?,O,,제어대상,제어장치,제어요소,제어량,1
소방설비기사(전기분야),2011,1,소방전기회로,40,자시계기에 대한 동작원리가 옳지 않은 것은?,,,열전대형 계기 - 정전작용,무도형 계기 - 회전 자장 및 이동자장,전류력계형 계기 - 코일의 자계,영선형 계기 - 열선의 팽창,1
소방설비기사(전기분야),2011,1,소방관계법규,41,소방시설공사업자는 소방시설공사 결과 소방시설에 하자가 있는 경우 하자보수를 하여야 한다. 다음 중 하자보수를 하여야 하는 소방시설과 소방시설를 하자보수보증기간이 잘못 나타낸 것은?,,o,유도등 : 2년,자동화재탐지설비 : 3년,스프링클러설비 : 3년,무선통신보조설비 : 3년,4
소방설비기사(전기분야),2011,1,소방관계법규,42,위험물 관이저장탱크 설비기준에 대한 설명으로 맞는 것은?,,o,통기관은 지름 최소 40mm 이상으로 한다.,용량은 600L 이하 이어야 한다.,탱크의 주위에 너비는 최소 1.5m 이상의 공지를 두어야 한다.,수압시험은 50kpa 의 압력으로 10분간 실시하여 새거나 변형되지 아니하여야 한다.,2
소방설비기사(전기분야),2011,1,소방관계법규,43,다음 중 경보설비에 해당되지 않는 것은?,,o,자동화재탐지설비,무선통신보조설비,통합감시시설,누전경보기,2
소방설비기사(전기분야),2011,1,소방관계법규,44,다음 중이 설명 중 옳은 것은?,,o,소방시설'이라 함은 소화설비·경보설비·피난설비·소화용수설비 그 밖에 소화활동설비로서 대통령령이 정하는 것을 말한다.,“소방시설등”이라 함은 소방시설과 비상구 그 밖에 소방 관련 시설로서 행정안전부장관령이 정하는 것을 말한다.,“특정소방대상물”이라 함은 소방시설을 설치하여야 하는 소방대상물로서 소방방재청장령이 정하는 것을 말한다.,“소방용기계ᆞ기구”라 함은 소화기(消火器)ᆞ소화약제(消化藥劑)ᆞ방염도료(防炎塗料) 그 밖에 소장시설을 구성하는 기기로서 시ᆞ도지사령이 정하는 것을 말한다.,1
소방설비기사(전기분야),2011,1,소방관계법규,45,소화활동 및 화재조사를 원활히 수행하기 위해 화재현장에 출입을 통제하기 위하여 설정하는 것은?,,o,화재경계지구 지정,소방활동구역 설정,화재취학구역 설정,화재통제구역 설정,2
소방설비기사(전기분야),2011,1,소방관계법규,46,다음 특정소방대상물 중 자동식 소화기를 설치하여야 하는것은?(오류 신고가 정수된 문제입니다. 반드시 정담과 해설을 확인하시기 바랍니다.)(관련 규정 개정전 문제로 여기서는 기존 정답이 1번을 누르면 정답 처리됩니다. 지세한 내용은 해설을 참고하세요.),,o,아파트,지하가 중 터널로서 길이가 1000m 이사인 터널,지정문화재 및 가스시설,항공기 격납고,1
소방설비기사(전기분야),2011,1,소방관계법규,47,화재에 관한 위험경보를 발령할 수 있는 자는?,,o,행정안전부장관,소방서장,시·도지사,소방방재청장,2
소방설비기사(전기분야),2011,1,소방관계법규,48,소방용기계·기구에 해당되는 것은?,,o,휴대용 비상조명등,방역맵 및 방연도료,이산화탄소 소화약제,화학방호복 거품소화기,2
소방설비기사(전기분야),2011,1,소방관계법규,49,다음 중 소방기본법 시행령에서 규정하는 화재경계지구의 지정대상지역에 해당되는 기준과 가장 거리가 먼 것은?,,o,시장지역,공장·창고가 밀집한 지역,소방시설·소방용수시설 또는 소방출동로가 없는 지역,금융업소가 밀집한 지역,4
소방설비기사(전기분야),2011,1,소방관계법규,50,특정소방대상물 중 근린생활시설과 가장 거리가 먼 것은?,,o,안마시술소,절집방,학의원,무도학원,4
소방설비기사(전기분야),2011,1,소방관계법규,51,다음 중 소화활동설비기 아닌 것은?,,o,제연설비,연결송수관설비,비상방송설비,연소방지설비,3
소방설비기사(전기분야),2011,1,소방관계법규,52,다음 중 소방방상의 소방대상물이 아닌 것은?,,o,산림,선박건조구조물,항공기,차량,3
소방설비기사(전기분야),2011,1,소방관계법규,53,방염업의 등록 결격사유에 해당하지 않는 것은?,,o,금치산자,방염업의 등록이 취소된 날로부터 3년이 지난 자,피치분인전관리법에 따른 공고 이상의 형의 집행유예 선고를 받고 그 유예기간 중에 있는 자,위험물안전관리법에 따른 금고 이상의 실형의 선고를 받고 그 집행이 종료되거나 집행이 면제된 날로부터 2년이 지나지 아니한 자,2
소방설비기사(전기분야),2011,1,소방관계법규,54,다음 시·도지 소방관국으로 관해 상으룰벌점을 제결하고자 할 때 포함되어야 할 사항이 아닌 것은?,,o,응원출동의 요청방법,소방신호방법의 종일,소요경비의 부담에 관한 내용,응원출동 대상지역 및 구모,2
소방설비기사(전기분야),2011,1,소방관계법규,55,소방관서에서 실시하는 화재원인조사 방법에 해당하는 것은?,,o,소방활동 중 발생한 사망자 및 부상자,소방시설의 사용 또는 작동 등의 상황,"열에 의한 탄화, 용융, 파손 등의 피해",소방활동 중 사물의 물로 인한 피해,2
소방설비기사(전기분야),2011,1,소방관계법규,56,특정소방대상물의 관계인은 방화관리자가 해임한 날부터 며칠 이내에 연임하여야 하는가?,,o,10일,14일,30일,90일,3
소방설비기사(전기분야),2011,1,소방관계법규,57,특수가연물의 저장 및 취급의 기준을 위반한 자가 2차 위반시 대비금 금액은?,,o,20만원,50만원,100만원,150만원,2
소방설비기사(전기분야),2011,1,소방관계법규,58,다음 중에서 방화관리자를 두어야 할 특정소방대상물로서 1급 방화관리대상물이 아닌 것은?,,o,지하구,"연면적 15,000m$^2$ 이상인 것",건물의 층 수가 11층 이상인 것,1천 톤 이상의 가연성가스 저장 시설,1
소방설비기사(전기분야),2011,1,소방관계법규,59,제4류 위험물로서 제1석유류의 수용성 액체의 지정수량은 몇 L인가?,,o,100,200,300,400,4
소방설비기사(전기분야),2011,1,소방관계법규,60,특정소방대상물의 층속 또는 용도변경 시의 소방시설설치조항의 특례에 관한 설명 중 옳지 않은 것은?,,중축되는 경우에는 기존부분을 포함한 전체에 대하여 증축 당시의 소방시설 등의 설치에 관한 대통령령 또는 화재안전기준을 적용한다.,재안전기준을 적용한다. 2 증축 시 기존부분과 증축되는 부분이 내화구조로 된 바닥과 벽으로 구획되어 있는 경우에는 기존부분에 대하여는 증축당시의 소방시설 등의 설치에 관한 대통령령 또는 화재안전기준을 적용하지 아니한다.,용도 변경되는 경우에는 기존 부분을 포함할 전체에 대하여 용도 변경 당시의 소방시설 등의 설치에 관한 대통령령 또는 화재안전기준을 적용한다.,"용도 변경 시 특정소방대상물의 구조ᆞ설비가 화재연소 확대요인이 적어지거나 피난 또는 화재진압활동이 쉬워지도록 용도 변경되는 경우에는 전체에 용도변경되기 전
의 소방시설 등의 설치에 관한 대통령령 또는 화재안전기준을 적용한다.",3,
소방설비기사(전기분야),2011,1,소방전기시설의 구조 및 원리,61,다음 수신기의 일반적인 구조 및 기능 중에서 옳은 것은?,,,예비전원회로에는 단락사고 등으로부터 보호하기 위한 누선차단기를 설치하여야 한다.,주전원의 공급을 각각 개폐할 수 있는 전원스위치를 설치하여야 한다.,외함은 단단한 가연성 재질을 사용하여 재작하여야 한다.,경작전압이 60V를 넘는 금속제 외함에는 접지단자를 설치하여야 한다.,4
소방설비기사(전기분야),2011,1,소방전기시설의 구조 및 원리,62,누전경보기 수신부의 경연저항은 최소 몇 [MΩ]이상 이어야 하는가?,,,0.1,3,5,100,3
소방설비기사(전기분야),2011,1,소방전기시설의 구조 및 원리,63,다음 중 감지기의 종별이 옳지 않은 것은?,,,보상식 스포트형 감지기는 자동식스포트형 감지기와 정온식스포트형 감지기의 성능을 겸한 것,보상식 스포트형 감지기는 자동식스포트형 감지기 또는 정온식스포트형 감지기의 성능 중 어느 한 기능이 작동되면 작동신호를 발하는 것,이온화식 감지기는 주위의 공기가 일정한 온도를 포함하게 되는 경우에 작동하는 것,이온화식 감지기는 일곡소의 연기에 의하여 이온전류가 변화하여 작동하는 것,3
소방설비기사(전기분야),2011,1,소방전기시설의 구조 및 원리,64,운동시설에 설치하지 아니할 수 있는 유도등은?,,,대형 피난구 유도등,중형 피난구 유도등,통로 유도등,객석 유도등,2
소방설비기사(전기분야),2011,1,소방전기시설의 구조 및 원리,65,다음 중 누전경보기의 설치방법으로 옳지 않은 것은?,,,경계전로의 정격전류가 60A를 초과하는 전로에 있어서는 1급 누전경보기를 설치할 것,경계전로의 전격전류가 60A 이하의 전로에 있어서는 2급 또는 3급 누전경보기를 설치할 것,변류기를 옥외의 전로에 설치하는 경우에는 옥외형의 것을 설치할 것,"변류기는 소방대상물의 형태, 인입선의 시설방법 등에 따라 옥외 인입선의 제1지점 부하측의 접점이 쉬운 위치에 설치할 것",2
소방설비기사(전기분야),2011,1,소방전기시설의 구조 및 원리,66,다음 중 무선통신보조설비의 무선기기 접속단자의 설치기준에 잘못하지 않는 것은?,,,단자의 보호함은 표면에 '무선기 접속단자'라고 표시한 표지를 한다.,수위실 등 상시 사람이 근무하는 장소에 설치한다.,지상에 설치하는 접속단자는 수위커티 50m 마다 설치한다.,비닫으로부터 높이 0.8m 이상 1.5m 이하의 위치에 설치한다.,3
소방설비기사(전기분야),2011,1,소방전기시설의 구조 및 원리,67,비닫면적이 450m$^2$ 일 경우 단독경보형감지기의 최소 설치 갯수는?,,,1개,2개,3개,4개,3
소방설비기사(전기분야),2011,1,소방전기시설의 구조 및 원리,68,통로유도등 설치기준으로 옳지 않은 것은?,,,복도통로 유도등은 구부러진 모통이 및 보행거리 20m마다 설치한다.,복도통로 유도등을 지하상가에 설치하는 경우에는 복도·통로 중앙부분의 바닥에 설치한다.,계단통로 유도등은 바닥으로부터 높이 1.5m 이하의 위치에 설치한다.,계단통로 유도등은 각층의 경사로면 또는 계단참미디 설치한다.,3
소방설비기사(전기분야),2011,1,소방전기시설의 구조 및 원리,69,다음 감지기 중에서 불을 사용하는 설비의 불꽃이 노출되는 장소에 적응하는 감지기는 어느 것인가?,,,자동식분포형감지기,보상식스포트형감지기,정온식감지기,불꽃감지기,3
소방설비기사(전기분야),2011,1,소방전기시설의 구조 및 원리,70,자동화재탐지설비에 있어서 부착높이가 20m 이상에 설치할 수 있는 감지기는?,,,연기복합형,불꽃감지기,자동식 분포형,이온화식 1종 또는 2종,2
소방설비기사(전기분야),2011,1,소방전기시설의 구조 및 원리,71,자동화재탐지설비의 수신기는 몇 종 이상의 소방대상물일 경우 발신기와 전화통화 가능한 것으로 설치해야 하는가?,,,7종 이상,5종 이상,4종 이상,2종 이상,3
소방설비기사(전기분야),2011,1,소방전기시설의 구조 및 원리,72,자동화재탐지설비의 음향장치 설치기준 중 맞는 것은?,,,지구음향장치는 당해 소방대상물의 각 부분으로부터 하나의 음향장치까지의 수평거리가 25m 이하가 되도록 할다.,정격전압의 70%전압에서 음향를 발할 수 있어야 한다.,음향은 부착된 음향장치의 중심으로부터 1m 떨어진 위치에서 80dB 이상이 되도록 하여야 한다.,5층(지하층 제외)이상으로서 연면적이 3000m$^2$를 초과하는 소방대상물에 있어서는 2층 이상의 층에서 발화시 발화층 및 직하층에 경보를 발하여야 한다.,1
소방설비기사(전기분야),2011,1,소방전기시설의 구조 및 원리,73,비상방송설비 음향조직의 음향조절기를 설치하는 경우 음향조절기의 배선은?,,,단선식,2선식,3선식,4선식,3
소방설비기사(전기분야),2011,1,소방전기시설의 구조 및 원리,74,예비전원을 내장하는 비상조명등에는 평상시 점등여부를 확인할 수 있도록 반드시 설치하여야 하는 것은?,,,충전기,리액터,점검스위치,정견콘덴서,3
소방설비기사(전기분야),2011,1,소방전기시설의 구조 및 원리,75,다음 중 무선통신보조설비의 주회로 전원이 정상인지 여부를 확인하기 위해 출복기 전면에 설치하는 것은?,,,전압계 및 전류계,전압계 및 표시등,회로시험계,전류계,2
소방설비기사(전기분야),2011,1,소방전기시설의 구조 및 원리,76,"유도표지는 거충미디 복도 및 통로의 각 부분으로부터 하나의 유도표지까지의 보행거리가 몇 m 미다 설치하여야 하는가? (단, 계단에 설치하는 것은 제외한다.)",,,5m 이하,10m 이하,15m 이하,20m 이하,3
소방설비기사(전기분야),2011,1,소방전기시설의 구조 및 원리,77,자동화재속보설비의 속보기는 자동화재 탐지설비로부터 작동신호를 수신하여 몇 초 이내에 소방관서에 자동적으로 신호를 발하여 통보하여야 하는가?,,,10초,20초,30초,60초,2
소방설비기사(전기분야),2011,1,소방전기시설의 구조 및 원리,78,자동화재탐지설비의 감지기 설치기준에 적합하지 않은 것은?,,,감지기(차동식분포형의 것 및 특수한 것은 제외한다.)는 실내로의 공기유입구로부터 3m 이상 떨어진 위치에 설치한다.,감지기는 천장 또는 반자의 옥내에 면하는 부분에 설치하되 감지기는 벽으로부터 0.6m 이상 떨어진 곳에 설치한다.,자동식스포트형 감지기는 45° 이상 경사되지 않도록 부착한다.,공기관식 자동식분포형 감지기 설치시 공기관은 도중에 서 분기하지 아니하도록 부착한다.,1
소방설비기사(전기분야),2011,1,소방전기시설의 구조 및 원리,79,비상전원수전설비 중 큐비클형 외함의 두께는?,,,1mm 이상 강판,1.2mm 이상 강판,2.3mm 이상 강판,3.2mm 이상 강판,3
소방설비기사(전기분야),2011,1,소방전기시설의 구조 및 원리,80,다음 중 무선통신보조설비의 화재안전기준에서 사용하는 용어의 정의로 올바른 것은?,,,'분배기'는 신호의 전송로가 분기되는 장소에 설치하는 장치를 말한다.,'분배기'는 사보 다른 후피수의 합성된 신호를 분리하시 위해서 사용하는 장치를 말한다.,'누설동축케이블'은 동축케이블이 외부로 세어나갈 수 있도록 한 케이블을 말한다.,'증폭기'는 두개 이상의 입력 신호를 원하는 비율로 조합한 출력이 발생되도록 하는 장치를 말한다.,3
