Test Name,Year,Session,Subject,Number,Question,Question_image,Option 1,Option 2,Option 3,Option 4,Answer,,
소방설비기사(전기분야),2021,4,소방전기시설의 구조 및 원리,68,비상방송설비의 화재안전기준(NFSC 202)에 따라 비상방송설비 음향장치의 설시기준 중 다음 ( )에 들어갈 내용으로 옳은 것은?,o,"㉠ 2, ㉡ 3500","㉠ 3, ㉡ 5000","㉠ 5, ㉡ 3000","㉠ 6, ㉡ 1500",3,,
소방설비기사(전기분야),2021,4,소방전기시설의 구조 및 원리,69,유도등의 형식승인 및 제품검사의 기술기준에 따른 용어의 정의에서 '유도등에 있어서 표시면의 조면에 사용되는 현'이 의미하는 것은?,,조사면,피나면,조도면,광속면,1,,
소방설비기사(전기분야),2021,4,소방전기시설의 구조 및 원리,70,자동화재탐지설비 및 시각경보장치의 화재안전기준(NFSC 203)에 따라 부착높이 20m 이상에 설치되는 광전식 분 아날로그방식의 감지기는 공칭감지농도 하한값이 감광율 몇 %/m 미만인 것으로 하는가?,,3,5,7,10,2,,
소방설비기사(전기분야),2021,4,소방전기시설의 구조 및 원리,71,비상조명등의 우수품질원증 기출기준에 따라 인출선인 경우 전선의 굵기는 몇 mm² 이상이어야 하는가?,,0.5,0.75,1.5,2.5,2,,
소방설비기사(전기분야),2021,4,소방전기시설의 구조 및 원리,72,누전경보기의 형식승인 및 제품검사의 기술기준에 따른 과 누전시험에 대한 내용이다. 다음 ( ) 에 들어갈 내용으로 옳은 것은?,o,"㉠ 20, ㉡ 5","㉠ 30, ㉡ 10","㉠ 50, ㉡ 15","㉠ 80, ㉡ 20",1,,
소방설비기사(전기분야),2021,4,소방전기시설의 구조 및 원리,73,비상방송설비의 화재안전기준(NFSC 202)에 따른 비상방송설비의 음향장치에 대한 설치기준으로 틀린 것은?,,다른 전기회로에 따라 유도장애가 생기지 아니하도록 할 것,음향장치는 자동화재속보설비의 작동과 연동하여 작동할 수 있는 것으로 할 것,Ⅲ(P)형 수신기의 감지기 회로의 배선에 있어서 하나의 공통선에 접속할 수 있는 경계구역은 5개이하로 할 것,출력기 및 조작부는 수위실 등 상시 사람이 근무하는 장소로서 점검이 편리하고 방화상 유효한 곳에 설치할 것,2,,
소방설비기사(전기분야),2021,4,소방전기시설의 구조 및 원리,74,무선통신보조설비의 화재안전기준(NFSC 505)에 따른 용어의 정의 중 결합제어방법 등에 설치된 무선증폭기의 일력과 출력공로에 연결되어 증수신 신호를 원활하게 방사·수신하기 위해 측와에 설치하는 장치를 말하는 것은?,,혼합기,분배기,증폭기,축외안테나,4,,
소방설비기사(전기분야),2021,4,소방전기시설의 구조 및 원리,75,무선통신보조설비의 화재안전기준(NFSC 505)에 따라 무선통신보조설비의 누설동축케이블 또는 동축케이블의 임피던스는 몇 Ω으로 하여야 하는가?,,5,10,50,100,3,,
소방설비기사(전기분야),2021,4,소방전기시설의 구조 및 원리,76,비상경보설비 및 단독경보형감지기의 화재안전기준(NFSC 201)에 따른 단독경보형감지기에 대한 내용이다. 다음 ( )에 들어갈 내용으로 옳은 것은?,o,30,50,100,150,1,,
소방설비기사(전기분야),2021,4,소방전기시설의 구조 및 원리,77,소방시설용 비상전원수전설비의 화재안전기준(NFSC 602)에 따른 용어의 정의에서 소방부하에 전원을 공급하는 전기회로를 말하는 것은?,,수전설비,일반회로,소방회로,변전설비,3,,
소방설비기사(전기분야),2021,4,소방전기시설의 구조 및 원리,78,누전경보기의 형식승인 및 제품검사의 기술기준에 따라 누전경보기의 변류기는 정류 500V의 절연저항계로 절연된 1차권선과 2차권선 간의 절연저항 시험을 할 때 몇 MΩ 이상이어야 하는가?,,0.1,5,10,20,2,,
소방설비기사(전기분야),2021,4,소방전기시설의 구조 및 원리,79,"소방시설용 비상전원수전설비의 화재안전기준(NFSC 602)에 따라 소방시설용 비상전원 수전설비의 인입구배선은 '옥내소화설비의 화재안전기준(NFSC 102), 펄포 1에 따른 어떤 배선으로 하여야 하는가?",,나전선,내화배선,내화배선,자체배선,3,,
소방설비기사(전기분야),2021,4,소방전기시설의 구조 및 원리,80,유도등 및 유도표지의 화재안전기준(NFSC 303)에 따라 설치하는 유도표지는 계단에 설치하는 것을 제외하고는 각층마다 복도 및 통로의 각 부분으로부터 하나 유도표지까지의 보행거리가 몇 m 이하가 되는 곳과 구부러진 모등이의 벽면의 설치하여야 하는가?,,10,15,20,25,2,,
