Test Name,Year,Session,Subject,Number,Question,Question_image,Option 1,Option 2,Option 3,Option 4,Answer,
산업안전산업기사,2003,2,안전관리론,16,학습의 전이에 역학을 주는 조건과 관려이 없는 것은?,,학습자의 지능 요인,학습정도의 요인,학습자의 태도 요인,학습장소의 요인,4,
산업안전산업기사,2003,2,안전관리론,17,맥그리거(McGregor)의 Y이론과 관계가 없는 것은?,,인간 통솔상,인간관계 철리방식,관리주의적 리더십,책임감과 창조력 있음,3,
산업안전산업기사,2003,2,안전관리론,18,다음 중 바이오리듬의 설명 중 맞는 것은?,,"체온은 주간에 상승, 야간에 감소한다.","혈액의 수분량은 주간에 증가, 야간에 감소한다.","피로의 자각증상은 주간에 증가, 야간에 감소한다.","체중은 주간에 감소, 야간에 증가한다.",1,
산업안전산업기사,2003,2,안전관리론,19,피로에 영향을 주는 기계측의 인자가 아 닌 것은?,,기계의 색,기계의 중량,기계의 충류,조작부분의 배치,2,
산업안전산업기사,2003,2,안전관리론,20,다음은 사업장에서의 교육훈련의 직접목적에 대한 설명이다. 이에 해당되지 않는 것은?,,인재육성,기업의 계속 유지 발전,능률향상,인간완성,2,
산업안전산업기사,2003,2,인간공학 및 시스템안전공학,21,어느 가가의 고장률은 0.002/시간으로 완전하다고 할 때 이 기기를 100시간 사용했을 때의 불신뢰도는?,,0.002,0.1645,0.0998,0.1813,4,
산업안전산업기사,2003,2,인간공학 및 시스템안전공학,22,FMEA 실시를 위한 기본방침의 결정에 있어서 문명하게 해둘 필요가 없는 것은?,,시스템 운용단계,환경 stress 나 동작 stress의 관계 부여,시스템의 software 구성요소의 고장 원인,시스템 업무의 기본적 목적,3,
산업안전산업기사,2003,2,인간공학 및 시스템안전공학,23,시간-동작연구에 대한 비문으로 맞지 않는 것은?,,생산량을 저하시키는 방법이다.,개인차를 고려하지 못한다.,부적절한 표집을 사용할 염구이다.,비교적 단순하고 반복적인 직무에만 적절하다.,1,
산업안전산업기사,2003,2,인간공학 및 시스템안전공학,24,바턴의 주관 반사율은?,,10% - 30%,20% - 40%,30% - 50%,40% - 60%,2,
산업안전산업기사,2003,2,인간공학 및 시스템안전공학,25,인간의 눈은 모든 빛들 동일하게 받아들이는 것 같이 보이지만 실제로는 그렇지 않다. 다음 중 인식되기가 가장 낮은 색상은?,,백색,황색,적색,녹색,1,
산업안전산업기사,2003,2,인간공학 및 시스템안전공학,26,기계가 갖고 있는 재한점이 아닌 것은?,,기계는 융통적이지 못하다.,기계는 임기응변을 하지 못한다.,기계는 빨리각 힘을 빠르고 지속적으로 적용하지 못한다.,기계는 과거의 경험으로부터 아무런 도움을 얻지 못한다.,3,
산업안전산업기사,2003,2,인간공학 및 시스템안전공학,27,시스템 고장의 치명도를 분석하는 치명도분석(criticality analysis)는 구성부품의 고장형태 및 발생확률로부터 치명도 지수(criticality number)를 계산한다. 다음중 시간당 또는 사이클당의 통상 고장률을 나타내는 기호는?,,$\\alpha$,$K_c$,$K_A$,$\\lambda_{ci}$,4,
산업안전산업기사,2003,2,인간공학 및 시스템안전공학,28,체계(system)의 특성이 아닌 것은?,,집합성,관련성,목적추구성,확정목표성,4,
산업안전산업기사,2003,2,인간공학 및 시스템안전공학,29,인간은 계속되는 소음에 장시간 노출되는 경우 청력을 손실하며 소음의 강도와 노출시간은 반비례하는 것이 일반적이다. 예를 들어 130dB의 소음은 약 10초가 한계인데 85시간 작업시의 허용소음 기준치는?,,80dB,90dB,100dB,110dB,2,
산업안전산업기사,2003,2,인간공학 및 시스템안전공학,30,작업장의 소음을 통제하는 일반적인 방법과 거리가 먼 것은?,,소음의 격리,소음원 통제,자동화 설비로 교체,자폐장치 및 틀슬재 사용,3,
산업안전산업기사,2003,2,인간공학 및 시스템안전공학,31,기계의 통제장치 형태 중 개폐에 의한 통제장치는?,토클 스워치(Toggle switch),노브(Knob),토글 스위치(Toggle switch),레버(Lever),크랭크(Crank),2,2
산업안전산업기사,2003,2,인간공학 및 시스템안전공학,32,평균고장시간(MTTF)이 6x10$^5$시간인 요소 3개가 직렬계를 이루었을 때의 계(system)의 수명은?,,2x10$^5$시간,3x10$_5$시간,9x10$_5$시간,18x10$_5$시간,1,
산업안전산업기사,2003,2,인간공학 및 시스템안전공학,33,"다음과 같은 시스템의 신뢰도를 구하면? (단, 기계의 신뢰도는 0.9901다.)",O,0.9999,0.9801,1.98,0.9701,2,
산업안전산업기사,2003,2,인간공학 및 시스템안전공학,34,"재계가 갖지, 정보보관, 정보처리 및 의사결정, 원동을 포함한 모든 양호를 수행하는 계재는 다음 중 어느 계재인가?",,수동계재,기계화 계재,자동계재,반자동 계재,3,
산업안전산업기사,2003,2,인간공학 및 시스템안전공학,35,정보를 음성적으로 의사소를 하는 것이 효과적일 때는 어떤 경우인가?,,정보가 어렵고 추상적일 때,여러종류의 정보를 동시에 재시해야 할 때,정보가 간단힌 때(톨리지시),정보의 잘구적인 기록이 필오할 때,3,
산업안전산업기사,2003,2,인간공학 및 시스템안전공학,36,시스템의 구상단계에서 시스템 고장의 위험 상태를 식별하고 예상되는 재해의 위험 수준을 결정하는 시스템 안전분석기법은?,,FTA,PHA,FMEA,ETA,2,
산업안전산업기사,2003,2,인간공학 및 시스템안전공학,37,작업설계를 함에 있어서 작업 만족도를 얻기 위한 수단이아닌 것은?,,작업순환,작업분석,작업 운택화,작업확대,2,
산업안전산업기사,2003,2,인간공학 및 시스템안전공학,38,다음 조도를 나다낼 공식이다. 맞앗는 것은?,,광도 $\\div$ 거리,(광도$\\div$거리),(거리)$^2$ $\\div$ 거리,광도 $\\div$ (거리)$^2$,4,
산업안전산업기사,2003,2,인간공학 및 시스템안전공학,39,장인지의 오고나 과실이 한 가지에 집중되는 의식주체의 로재를 지나 적절치에 대한 관능자극이 수적치는?,,규제,통제,카운셀링(counseling),처벌,3,
산업안전산업기사,2003,2,인간공학 및 시스템안전공학,40,다음 중 진동의 영향을 가장 많이 받는 인간 성능은?,,추적(tracking) 작업,감시(monitoring) 작업,반응시간,형태식별(pattern recognition),1,
산업안전산업기사,2003,2,기계위험방지기술,41,30A 미만의 아크용접과 아크용단 등에 사용하는 필터유리의 차광도 번호는?,,6~7,8~9,10~12,13~14,1,
산업안전산업기사,2003,2,기계위험방지기술,42,크레인 작업시 2ton의 중량을 걸어 20m/s2 가속도로 감아올릴 때 로프에 걸리는 총 하중은?,,"5,998kg","6,000kg","6,082kg","6,112kg",3,
산업안전산업기사,2003,2,기계위험방지기술,43,지게차의 전후 안정도를 유지하기 위해서는 과적을 상가해야 하는데 전후의 무게중심을 어디에 두는 것이 가장 좋은가?,,좌륜의 중심,양바퀴 중심,지게차 전장의 중앙,미스터의 중심선,2,
산업안전산업기사,2003,2,기계위험방지기술,44,"사출성형기, 주형조형기, 칠단조기 등에 근로자의 신체의 일부가 말려들어갈 우려가 있는 것으로 안전장치는?",,광전자식,덮개 또는 틀,손치내기식 및 수인식,게이트 가드 또는 양수조작식,4,
산업안전산업기사,2003,2,기계위험방지기술,45,선반 작업에 대한 안전수칙으로 틀린 것은?,,척 렌치는 반드시 적에 끼워된다.,베드상에 공구를 올려놓지 말아야 한다.,바이트는 가급적 짧게 장치한다.,작업시 기계 점검을 할 수 작업한다.,1,
산업안전산업기사,2003,2,기계위험방지기술,46,"최대출력설에 의한 슬롬의 피교속도(Vf)로 맞앗는 것은?(단, H-슬롬의 내경, D-슬롬의 직경, V -슬롬의 포이슨비, y -슬롬의 비중, $\\sigma_{max}$-슬롬의 최대인장응력)",O,image_2003_2_46_1,image_2003_2_46_2,image_2003_2_46_3,image_2003_2_46_4,4,
산업안전산업기사,2003,2,기계위험방지기술,47,"화천축, 치차, 플리, 릴리이를 등에는 어떤 고정구를 설치하여야 하는가?",,돌림핀 고정구,돌출형 고정구,개방형 고정구,폐쇄형 고정구,1,
산업안전산업기사,2003,2,기계위험방지기술,48,광전자식 안전장치의 투광기 및 수광기의 광축의 수는?,,1개 이상,2개 이상,3개 이상,4개 이상,2,
산업안전산업기사,2003,2,기계위험방지기술,49,드링의 적경이 6mm 이고 회전수가 1000 RPM 일 때의 절삭속는는?,,6.3m/min,12.6m/min,18.8m/min,25.1m/min,3,
산업안전산업기사,2003,2,기계위험방지기술,50,기능적 안전하를 위하여 1차적으로 고려할 사항은?,,강도계산,페일세이프티(fail safety),헝검수리,방호장치 및 가이드(guard),2,
산업안전산업기사,2003,2,기계위험방지기술,51,재료강도 시험 중 항복점을 알 수 있는 시험은?,,인장시험,충격시험,압축시험,마모시험,1,
산업안전산업기사,2003,2,기계위험방지기술,52,가스용접 작업의 안전수칙 중 틀 린 것은?,,"용접하기 전에 반드시 소화기, 소화수의 위치를 확인 할것",보호안경을 반드시 쓸 것,아세틸렌의 사용압력을 1.3kg/cm$^2$이하로 할 것,작업 후에는 아세틸렌 밸브를 먼저 닫고 산소 밸브를 닫을 것,4,
산업안전산업기사,2003,2,기계위험방지기술,53,유압리프트(lift)의 방호장치로 다음 중 가장 적당한 것은?,,역항방지장치,권과방지장치,반팔방지장치,압력방출장치,2,
산업안전산업기사,2003,2,기계위험방지기술,54,세이퍼(Shaper)에서 바이트를 이옆게 물리는 것이 가장 안전한 작업을 할 수 있는가?,,바이트를 짧게 나오도록 한다.,"가능한 범위내에서 짧게 고정하고, 날끝은 상급의 뒷면과 일직선상에 잇게 한다.",가능한 범위내에서 짧게 고정하고 날끝은 상급의 뒷면보다 앞에 잇도록 한다.,숙면을 접삭할 때는 수직으로 바이트를 고정해야 한다.,2,
산업안전산업기사,2003,2,기계위험방지기술,55,플레이너(planer)작업시의 안전대책이 아닌 것은?,,합브래이크 부착을 바이트를 사용하여 칩이 끝게 되도록한다.,프래임내의 피트(pit)에는 두껍을 설치한다.,바이트는 되도록 짧게 나오도록 설치한다.,베드위에 다른 물건을 올려놓지 않는다.,1,
산업안전산업기사,2003,2,기계위험방지기술,56,프레스의 강종석 방호장치에서 손이 광선을 차단할 직육부터 금정지 장치가 작동을 시작하여 슬라이드가 정지할 때까지의 시간이 0.2초이면 광축의 설치거리는?,,153mm 이상,279mm 이상,368mm 이상,451mm 이상,3,
산업안전산업기사,2003,2,기계위험방지기술,57,다음 중 금속의 안정화 조치와 거리가 먼 것은?,,번지의 세정비가 맞지 않으면 킹어 발락할 우려가 있정한다.,강도 부족으로 피손되는 경우 솔벤된 강도를 갖는 재료로 교체한다.,열지리 불완으로 인한 피손을 막기 위해 Quenching을설시한다.,캠 및 기단 충격이 반복해서 가해지는 부분에는 한충장치를 한다.,3,
산업안전산업기사,2003,2,기계위험방지기술,58,동력식 수동대패기계의 덮개 하단과 테이블 간격은 얼마 이내가 적당한가?,,3mm,5mm,8mm,12mm,3,
산업안전산업기사,2003,2,기계위험방지기술,59,다음 중 벨트 컨베이어의 특정에 해당되지 않는 것은?,,무인화 작업이 가능하다.,연속적으로 물건을 운반할 수 있다.,운반과 동시에 하역작업이 가능하다.,경사각이 큰 경우에도 쉽게 물건을 운반할 수 있다.,4,
산업안전산업기사,2003,2,기계위험방지기술,60,지게차의 중량을 표시는 어디에 하는가?,,하물앞면,화물앞면,하물뒷면,작업자에게 잘 보이는 곳,4,
산업안전산업기사,2003,2,전기 및 화학설비위험방지기술,61,화학물질의 반응을 시키기 위한 조작 조건에 해당되지 않는것은?,,반응온도,반응농도,반응농이,반응압력,3,
산업안전산업기사,2003,2,전기 및 화학설비위험방지기술,62,정전작업중 조치사항에 해당하지 않는 것은?,,산류전하의 방전,개폐기의 관리,단락점지의 수시확인,작업시작지에 의한 지휘,1,
산업안전산업기사,2003,2,전기 및 화학설비위험방지기술,63,보일러에서 고온- 고압의 열수를 받으로 배출하는 밸브를김치기 개방할 때 일어니는 적정적인 위험성은?,,보일러의 감압폭발,증기폭발,보일러의 급격한 압력상승,보일러의 급격한 온도상승,2,
산업안전산업기사,2003,2,전기 및 화학설비위험방지기술,64,변압기의 부성사고나 내부고장을 예방하려면 어떤 보호계전방식을 선택하는가?,,과전류계전방식,자동개전방식,과전압계전방식,부호졸쓰개전방식,2,
산업안전산업기사,2003,2,전기 및 화학설비위험방지기술,65,폭발 및 연소 위험성의 척도로 쓸일 수 있는 것 중 가장 적합한 것은?,,증기압,폭발범위,발화온도,분해온도,2,
산업안전산업기사,2003,2,전기 및 화학설비위험방지기술,66,산화성물질을 가연물과 출화할 경우 출화위험성 물질이 된다. 그 이유로 가장 적단한 것은?,,산화성물질과 가연물이 촏합되어 잇으면 가열- 마찰-충격의 면화에나치접에 의해 다측 쉽게 문해하기 때문이다.,산화성물질이 가연성물질이 촏합되어 잇으면 주수소화가어렵기 때문이다.,산화성물질이 가연성물질과 촏합되어 잇으면 신화-환팡반응이 다측 잘 일어나기 때문이다.,산화성물질에 조해성이 생기기 때문이다.,3,
산업안전산업기사,2003,2,전기 및 화학설비위험방지기술,67,"SO$_2$ 20ppm을 g/m$^3$로 환산하면 얼마인가? (단, 온도는 2 0℃, 압력은 1기압으로 한다.)",,0.571,0.533,0.0571,0.0533,4,
산업안전산업기사,2003,2,전기 및 화학설비위험방지기술,68,60[Hz]의 가정용 교류일 경우 인체가 감전되어 전격의 고통은 이겨낼 수 있는 전류값[mA]은?,,7-8,50-55,100-150,1000-1100,1,
산업안전산업기사,2003,2,전기 및 화학설비위험방지기술,69,"산소용기의 압력계가 100kg/cm2였다. 몇 [psia]인가? (단, 대기압은 표준대기압이다.)",,01월 04일,1455,1438,1423,3,
산업안전산업기사,2003,2,전기 및 화학설비위험방지기술,70,저압방폭설비에 필요한 전선관을 상호 접속시에는 유니온카플링을 사용하여 최소한 몇 선이상 유호하게 접속하여야하는가?,,3산,4산,5산,7산,3,
산업안전산업기사,2003,2,전기 및 화학설비위험방지기술,71,고압의 O$_2$를 공급하는 피아프가 잇다. O$_2$가스 밸배의 밸브를 급격하게 열앗더니 피아프의 이음새부분에서 볼컬이 치솟앗다. 이 경우 예상할 수 잇는 참화원은 무잇인가?,,촌 출격,마찰,단열압축,정전기발전,3,
산업안전산업기사,2003,2,전기 및 화학설비위험방지기술,72,정선기 발생원인에 맞지 않는 것은?,,마홀대전,충돌대전,파괴대전,유체대전,4,
산업안전산업기사,2003,2,전기 및 화학설비위험방지기술,73,전기화재중 발화원에 대한 화재예방대책이 아닌 것은?,,"배선기구는 정격 전격, 전류범위에서 사용",전기기기 및 장치의 줍내로 사용,전기배선(코드)의 줍내로 사용,이동연선에 대한 관리철저,4,
산업안전산업기사,2003,2,전기 및 화학설비위험방지기술,74,물체간의 마찰로 인하여 발생된 정전기가 발전되지 못하고측적되는 물질은?,,철,구리,경질유,증류수,3,
산업안전산업기사,2003,2,전기 및 화학설비위험방지기술,75,어떤 위험물을 위험물 저장소에 보관하던 도중에 빚물이 스며들어 봉괴이 일어나던지 철판이 침식하는 화학물질이 발열되는가?,,과공산소 나트룸,나트룸,T.N.T.,피크린산,2,
산업안전산업기사,2003,2,전기 및 화학설비위험방지기솔,76,배전선로를 피뢰기는 발전관과 특성요소로써 구성이 되어잇다. 다음 어는 것을 지단하는 특성을 가지고 잇는가?,,단절,풍단,촉류,발전,3,
산업안전산업기사,2003,2,전기 및 화학설비위험방지기술,77,다음 중 정화본이 될 수 있는 것은?,,출합얼,기화얼,종해얼,증발얼,1,
산업안전산업기사,2003,2,전기 및 화학설비위험방지기술,78,다음 중 자연발화에 대한 설명이 옳은 것은 어느 것인가?,,점화원을 잘 관리하면 자연발화를 방지할 수 있다.,자연발화는 밖으로 방열하는 열보다 내부에서 발생하는 열의 양이 많아 일어난다.,습도를 높게 하면 자연발화를 방지하기가 더 좋다.,윤활유를 닦은 걸레를 담는 용기는 금속재보다는 플라스 틱제품이 자연발화를 방지하기가 더 좋다.,2,
산업안전산업기사,2003,2,전기 및 화학설비위험방지기술,79,워렌저역 O종장소에서 사용할 수 잇는 본질구조로서 적합한것은?,,연준중 방폭구조,내압 방폭구조,본질안전 방폭구조,유압 방폭구조,3,
산업안전산업기사,2003,2,전기 및 화학설비위험방지기술,80,기연석 가스가 말폐된 몰기 내에서 폭발할 때 최대폭발압력에 영향을 주는 인자가 아닌 것은?,,기연성가스의 초기압력,기연성가스의 초기농도,기연성가스의 온도,기연성가스의 유압,4,
산업안전산업기사,2003,2,건설안전기술,81,당비계의 최대적재하중을 정함에 있어 안전계수로 틀린것은?,,당기와이어로프 및 당기강선의 안전계수는 7이상,당기체인 및 당기프크의 안전계수는 5이상,당기강대와 당비계의 하부 및 상부지점의 안전계수는 강재의 경우 2.5이상,당기강대와 당비계의 하부 및 상부지점의 안전계수는 목재의 경우 5이상,1,
산업안전산업기사,2003,2,건설안전기술,82,기분식 해재 작업시의 안전수칙과 거리가 먼 것은?,,기부작지모공을 해재를 때는 작단책임자를 선임한다.,해재된 자푸질 자료를 올리거나 내릴 때는 틀줄이나 달포대를 사용한다.,보 임 또는 슬라브 거푸집을 해재 후 때는 동시에 해재하여야 한다.,기포질의 해재가 곤란한 경우 구조체에 무리한 충격이나지엣대 사용은 금하여야 한다.,3,
산업안전산업기사,2003,2,건설안전기술,83,기존 건물에서 인설된 창소에서 새로운 깊은 기초를 시공하고자 한다. 이때 기존 건물의 기초가 얼어 안전상 보강하려고 할 때 적단한 것은?,,긴삭판 공법,연디미닝 공법,선행 재하공법,지환공법,2,
산업안전산업기사,2003,2,건설안전기술,84,철골구조물의 건입 손서를 계획할 때 일반적인 주의사항이아닌 것은?,,현상건립 손서와 공정제적 손서를 일치시킨다.,건립기계의 작업반경에 방해되지 않도록 한다.,건립 중 가볼트 제결은 가급적 많이 하여 안전을 기한다.,기둥은 2면 이상 세움 때는 반드시 계측하여 보롬 설치한다.,3,
산업안전산업기사,2003,2,건설안전기술,85,증목의 안정기준에서 활동에 대하여 안전하기 위하여서는활동에 대한 저항력이 수평작도다 몇 배 이상되어야 하는가?,,1.0배,1.5배,2.0배,3.0배,2,
산업안전산업기사,2003,2,건설안전기술,86,유해위험 방지계획서 작성 대상이 아닌 것은?,,지상높이 31m 이상인 건축물 공사,제방높이 30m 이상인 댐 건설공사,최대지간길이 50m 이상인 교량공사,굴착깊이 10.5m 이상인 굴착공사,2,
산업안전산업기사,2003,2,건설안전기술,87,폭약이 동바리를 설치할 때 동과 등의 위험방지를 위한 정기점검사유으로 틀린 것은?,,침하의 정도,버팀대의 긴압가 정도,혐상- 지출 및 지충의 상태,부재의 손상- 변형- 부식- 변위 및 탈락의 유무,3,
산업안전산업기사,2003,2,건설안전기술,88,이동식 사다리의 구조기준을 잘못 설명한 것은?,,견고한 구조로 할 것,"재료는 심한 손상, 부식 등이 없는 것으로 할 것",각부에서 미끄럼방지 장치 들 견뎌 발지조치를 할 것,폭은 60cm 이내로 할 것,4,
산업안전산업기사,2003,2,건설안전기술,89,다음은 압밀에 대한 설명이다. 옳지 않은 것은?,,지반내의 하부는 촉에서 쌓이 높아질으로써 오랜 시간에 걸쳐 압축되는 현상을 일컫는다.,압밀시험의 목적은 지반의 침하 속도와 침하량을 추정해서 설계 시점의 자료를 얻는 데 잇다.,"압력적으로 최중계가가 작어 압막을 정시간에 걸처 일어나나, 간단하가 적아 침하량은 작다.",압밀이 완료되면 과잉간극수압(Ue)은 0 이 된다.,3,
산업안전산업기사,2003,2,건설안전기술,90,콘크리트가 부러되는 일이 없어 거푸집속에 쉽게 타설할 수잇는 정도를 나타내는 것은?,,workability,bleeding,consistency,filtration,1,
산업안전산업기사,2003,2,건설안전기술,91,건설 공사중 임시문건반의 안전조치 톨발으로 감전 재해가발생하던 즉대 사망사정 이어적 수 잇다. 다음 중 임시 분전반의 안전 조치 사항으로 틀린 것은?,,전기사용장소에는 임시 문전반을 설치하여 반드시 근태루부하 설치를 전결해야 한다.,분기회로에는 공전무용을 지착린 설치하면 누전차단기는설치하지 않아도 된다.,"출전부가 노출되지 않도록 내부보호만을 설치하고 근태루부하가 설치된 100V, 220V 충의 전압은 표시해야 한다.",철재분전반의 외함은 반드시 원치 시거야 한다.,2,
산업안전산업기사,2003,2,건설안전기술,92,철골 건립작업을 증지하여야 할 강풍의 기준시항은?,,1분간 평균 풍속이 10m/s 이상,10분간 평균 풍속이 10m/s 이상,1분간 평균 풍속이 20m/s 이상,10분간 평균 풍속이 20m/s 이상,2,
산업안전산업기사,2003,2,건설안전기술,93,글착공사에 사용되는 폭약이공법의 종류와 거리가 먼 것은?,,어스앵카공법,자립홈만이공법,아일랜드공법,자연사면완공법,4,
산업안전산업기사,2003,2,건설안전기술,94,이동식 비계를 조립하여 작업할 때 준수 사항으로 틀린 것은?,,최대 적재하중 명시,승강용 사다리를 견고하게 설치,이동을 방지하기 위한 제동장치 생략 가능,비계의 최상부 작업시 표준안전난간대 설치,3,
산업안전산업기사,2003,2,건설안전기술,95,"높이 2m인 거푸집에서 콘크리트 측압은 얼마인가? (단, 콘크리트 단위중량=2.4tonf/m$^3$)",,2.4tonf/m$^2$,4.8tonf/m$^2$,9.6tonf/m$^2$,12.5tonf/m$^2$,2,
산업안전산업기사,2003,2,건설안전기술,96,다음중 굴착기의 전부장치의 구성 종류가 아닌 것은?,,붐(Boom),암(Arm),버킷(Bucket),블레이드(Blade),4,
산업안전산업기사,2003,2,건설안전기술,97,흙의 안식각은 어느것을 말하는가?,,자연경사각,비탈먼각,시공경사각,계획경사각,1,
산업안전산업기사,2003,2,건설안전기술,98,가설공사에서 동목을 사용할 때의 기준 중 틀린 것은?,,동목은 전동기 또는 내연기관이 없어 쓰인다.,전력에 관한 사항은 전력회사 방침에 따라야 한다.,"동목을 사용할 때는 변압기, 변전실, 배전반 등을 전문업자의 사용으로 설비해야 한다.",전력은 임시 가설이므로 현장원이 가설할 수 있다.,4,
산업안전산업기사,2003,2,건설안전기술,99,"다음 중 철단기, 활발기의 권상을 일어어루우드로 사용 가능한 것은?",,이홈매가 잇는 것,잇어어루우드의 한 가단에서 스선의 수가 8번센트 절단된 것,시홈의 감소가 공칭지들의 8번센트 인 것,심삭개 변형 또는 부식 등이 잇는 것,2,
산업안전산업기사,2003,2,건설안전기술,100,다음 나열된 내용은 당관비계의 조립시 안전지침이다. 이 중 잘못된 것은?,,"비계기둥의 간격은 보 방향에서 2m, 철선 방향에서 2m이상이어야 한다.",지선에서 첫 번째 띠장의 높이는 2m 이하의 위치에 설치해야 한다.,비계기둥간의 적재하중은 400kg를 초과하지 않도록 해야 한다.,"벽곤의의 연결은 수직 5m, 수평 5m 이내마다 견고하게설치해야 한다.",1,
